,0,1,2,3,4,5
0,0.5,0.75,0.625,0.625,0.59375,0.4375
1,0.5,0.75,0.75,0.625,0.5625,0.40625
2,0.5,0.75,0.625,0.5,0.40625,0.46875
3,1.0,0.75,0.625,0.5,0.5,0.515625
4,0.0,0.25,0.25,0.375,0.40625,0.4375
5,1.0,1.0,0.875,0.5625,0.65625,0.578125
6,0.5,0.5,0.625,0.5625,0.5,0.5
7,0.0,0.25,0.5,0.4375,0.40625,0.46875
8,1.0,0.5,0.25,0.3125,0.40625,0.40625
9,1.0,1.0,0.875,0.75,0.625,0.453125
10,0.0,0.25,0.375,0.25,0.46875,0.5625
11,0.5,0.5,0.5,0.5625,0.46875,0.5
12,1.0,1.0,0.875,0.5625,0.46875,0.46875
13,1.0,0.5,0.5,0.5625,0.46875,0.453125
14,0.5,0.25,0.125,0.3125,0.375,0.40625
15,1.0,1.0,0.625,0.625,0.46875,0.515625
16,0.5,0.75,0.75,0.5,0.65625,0.53125
17,1.0,0.5,0.625,0.625,0.625,0.5625
18,0.5,0.5,0.375,0.375,0.46875,0.515625
19,0.5,0.5,0.5,0.5,0.46875,0.59375
20,0.5,0.5,0.625,0.4375,0.40625,0.453125
21,0.5,0.5,0.375,0.375,0.46875,0.421875
22,1.0,0.5,0.5,0.4375,0.3125,0.421875
23,0.5,0.75,0.625,0.4375,0.46875,0.4375
24,0.5,0.5,0.5,0.4375,0.59375,0.453125
25,0.5,0.75,0.625,0.6875,0.46875,0.546875
26,1.0,0.75,0.5,0.5,0.4375,0.4375
27,0.5,0.5,0.375,0.4375,0.59375,0.546875
28,1.0,0.75,0.5,0.625,0.53125,0.4375
29,0.5,0.5,0.625,0.5625,0.5,0.5
30,0.5,0.5,0.75,0.625,0.625,0.59375
31,1.0,1.0,0.75,0.625,0.65625,0.640625
32,0.5,0.5,0.5,0.375,0.5,0.5
33,0.5,0.5,0.5,0.4375,0.375,0.421875
34,0.5,0.25,0.375,0.3125,0.34375,0.453125
35,0.5,0.25,0.625,0.5,0.46875,0.4375
36,1.0,0.75,0.625,0.6875,0.65625,0.515625
37,0.5,0.25,0.5,0.4375,0.375,0.421875
38,1.0,0.5,0.5,0.625,0.5625,0.53125
39,0.5,0.25,0.375,0.3125,0.3125,0.34375
40,1.0,0.5,0.75,0.8125,0.65625,0.59375
41,1.0,0.75,0.625,0.5625,0.5,0.484375
42,0.5,0.5,0.375,0.5625,0.65625,0.46875
43,0.0,0.0,0.375,0.375,0.40625,0.40625
44,0.0,0.5,0.625,0.5,0.5,0.5625
45,0.0,0.25,0.25,0.25,0.375,0.40625
46,0.5,0.75,0.625,0.625,0.4375,0.40625
47,0.0,0.0,0.25,0.25,0.40625,0.453125
48,1.0,0.75,0.625,0.75,0.59375,0.578125
49,0.0,0.5,0.5,0.5,0.53125,0.46875
50,0.5,0.75,0.5,0.5,0.46875,0.40625
